ocr_text,document_type
"monthly  rent 7246.37
lease agreement between land1ord and tenant
pr0perty address 2218 baker street
residency verification letter
utility bi1l service address 45 mg road bengaluru",Proof of Residency
"monthly  rent 6696.21
lease agreement between landlord and tenant
property addrcss 78 andheri east mumbai
utility bill scrvice address 45 mg road bengaluru
residency verification lctter",Proof of Residency
"utility connection valid for 78 andheri east mumbai
billing address rua das f1ores 88 sao paulo
consumer number 78741172",Address Proof
"age proof issued by 12 main st springfield municipality
certificate of age
date of birth as per school records 15/10/2024
school lcaving certificate",Age Proof
"social security administration
this card belongs to maria s0uza
social security card issued
social security number 731515",Social Security Number
clinical notes from a doctor's visit or hospital stay,Medical Records
"a  utility bill or letter showing where someone currently lives
consumer number 712860507400",Address Proof
"branch  name rua das flores 88 sao paulo
ifsc code 10ih33
opening balance 5226.63 closing balance 5226.63
account number 669949
account statement",Bank Statement
legal paperwork proving who owns a piece of land or a house,Property Documents
"identification card issued by department of motor vehicles
photo idcntification document
driving license number 07836078
valid until 08/04/2024
passport no 167544",Government ID
"certificate  of disability
udid number 83258878
medical board assessment
percentage of disability 94%",Disability Certificate
"monthly rent due on the first of each month 4572.61
rcsidential lease agrecment
5ecurity deposit 2360.59",Lease Agreement
"saldo de salário 9471.65
termo dc rescisão do c0ntrato de trabalho
trct 
",Termo de Rescisão
"w0rk history verification letter
empl0yment history summary
dates of employment 23/02/2011 to 23/02/2011
employer rohan mehta position 78 andheri east mumbai",Work History
"survey numbcr 486809512136 plot area
registered document no 711469444328
title deed of ownership
this indenture made between
property situated at 12 main st springfield
salc dced",Property Documents
"form w-2 wage and tax statement
federal income tax withheld 5191.08
year to date gross 4149.73
w@ges tips other compensation 8433.22
employer identification number 729584542524
pay stub e@rnings statement",Proof of Income
"unique identification number issued to indian residents by uidai
government of india uniquc identification authority of india",Aadhaar Card
"salary  slip for the month of february
basic salary hra deductions
gross pay 2801.26",Income Proof
doctor's evaluation used to certify a disability in brazil,Medical/Disability Report
"data de nasciment0 18/09/2018
nome complet0 vikram rao
cadastro dc pess0as físicas
receita fcdcral do brasil
cpf número 817421361862",CPF
"social security number 250087434742
50ci@l security card issued
soci@l security administration
this card belongs to fern@nda lima",Social Security Number
"title document for a residential or commercial property
property situated at rua das flores 88 s@o paulo",Property Documents
"cpf número 9005727071
d@ta de nasciment0 22/07/1996
cadastro dc pess0as físicas
receita fcderal do brasil
nome completo sarah johnson",CPF
"govcrnment of india uniquc identificati0n authority of india
enrolment no 87737732
aadhaar no 70351629
address: 45 mg road bengaluru
dob 16/09/1977
gcnder m@le",Aadhaar Card
document confirming a household falls below the poverty line,BPL Certificate
"carteira de traba1ho e previdência social
data de admissão 08/07/1988
ctps númer0 1619819742 série 1619819742
contrat0 de trabalho 
",Carteira de Trabalho
"termo  de rescisão do contrato de trabalho
data do aviso prévio 04/09/1991
trct
saldo de salário 6859.85",Termo de Rescisão
"document  listing all family members eligible for subsidized rations
state food civil supplies dcpartment",Ration Card
"this card belongs to r0han mehta
social security card issued
s0cial 5ecurity administration 
",Social Security Number
individual  tax id document used for financial transactions in brazil,CPF
"5ale deed
registered document no 532997
survey number 3044771023 plot area
property situated at 12 main st springfield
titlc deed of ownership 
",Property Documents
"carteira de identidade
registr0 geral
rg número 25006047
sccretaria de 5egurança pública
filiação james carter",RG (ID)
"photo identification document
identification card issued by dep@rtment of motor vehicles
passport no 4781476065
valid until 02/04/1993",Government ID
"attending physician c@rlos rodrigues
patient medical rec0rd
treatment summ@ry discharge notes
diagnosis rua das flores 88 sao paulo
date of visit 04/08/1994",Medical Records
"empl0yer fernanda lima p0sition 78 andheri east mumbai
work history verification lettcr
employment history summary
dates of employment 08/08/1974 to 08/08/1974",Work History
"valid until 19/08/1975
driving license number 943268292398
ph0to identification document
identification card issucd by department of motor vehic1es
passport no 89786705",Government ID
document used to confirm how old a person is,Age Proof
"5cho0l leaving certificate
d@te of birth as per school records 14/05/2020
age proof issued by 78 andheri east mumbai municipality
certificate of age",Age Proof
"title deed of ownership
this indenture made between
survey number 6450849740 plot arca
rcgistered document no 5930633448
sale deed
property situated @t 12 main st springficld",Property Documents
"most recent paycheck stub uscd to verify current income
gross earnings 1523.23",Last Pay Stubs
"electricity or water bill showing a resident's address in brazil
comprovante de residência",Comprovante de Residência
"official work permit d0cument used in brazil for formal employment
carteira de trabalho e previdência social",Carteira de Trabalho
national  health card used to access public healthcare services in brazil,Cartão Nacional de Saúde
"data de admissão 14/11/2014
ctps número 8323832794 série 8323832794
carteira de trabalho e previdência 5ocial",Carteira de Trabalho
clinical notes from a doct0r's visit or hospital stay,Medical Records
"school  leaving certificate
certificate of age
age proof issued by rua das flores 88 sao p@ulo municipality
date of birth as per scho0l records 23/05/1967",Age Proof
"empl0yec id 194302
federal tax st@te t@x net pay 1638.06
earnings statement
gross earnings 8525.87
pay period ending 17/11/1985",Last Pay Stubs
"this card belongs to anita desai
social 5ecurity number 62324357
s0cial 5ecurity card issued
social security administration 
",Social Security Number
"saldo  de 5@lário 8685.18
data do aviso prévio 11/11/1983
trct",Termo de Rescisão
"gross earnings 6596.54
federal t@x state tax nct pay 520.01
earnings statement
employee id 237126530154
pay period ending 19/04/2005",Last Pay Stubs
recent earnings statement from an employer showing pay and deductions,Last Pay Stubs
"identification card issued by department of motor vehicles
driving license number 663893495092
valid until 25/12/2006
photo identification document",Government ID
official  severance paperwork issued when a job cnds in brazil,Termo de Rescisão
"patient  medical record
date of visit 02/07/2011
attending physician sarah johnson
trcatment summary discharge notes
diagnosis 300 lakeview ave chicag0",Medical Records
"brazilian  work booklet recording employment history and contracts
data de admissão 16/11/1988 
",Carteira de Trabalho
"certificate  of agc
5chool leaving certificate
date of birth as per school records 16/04/1982",Age Proof
"employee  name anita desai
net payable 2480.70
salary s1ip f0r the month of june
pay period 09/02/1989
basic salary hra deductions",Income Proof
"letter  verifying previous employment and job titles
dates of employment 02/06/1985 to 02/06/1985",Work History
annua1  wage statement issued by an employer for tax filing,Proof of Income
official photo identification issued by @ government agency,Government ID
"legal  paperwork proving who owns a piece of land or @ house
sale deed 
",Property Documents
rental contract specifying monthly rent and lease term,Lease Agreement
"sale deed
registered document no 0198290636
5urvey number 791479 plot area",Property Documents
"pay period 03/11/1989
salary s1ip for the month of march
employee name fernanda lima 
",Income Proof
"monthly rent 7452.93
uti1ity bill service address 78 andheri east mumbai
residency verification letter
lease agreement between landlord and tenant
property address 300 lakeview ave chic@go",Proof of Residency
document  confirming a household falls below the poverty line,BPL Certificate
doctor-issued  assessment of physical or sensory impairment,Disability Certificate
"unique  identification number issued to indian residents by uidai
government of india unique identification authority of india",Aadhaar Card
"statement period 20/06/2002 to 20/06/2002
account statement
branch name 45 mg ro@d bengaluru",Bank Statement
"document used to confirm how old a person is
date of birth as per school records 02/02/2004 
",Age Proof
"family income below poverty line threshold
bpl survey no 57649727
issued by gram panchayat office",BPL Certificate
"receita federal do brasil
cadastro de pessoas físicas
cpf número 557688094632
nome completo james carter
data de nascimento 11/05/1994",CPF
"account number 494257262841
branch name 78 andheri east mumbai
opening balance 873.24 closing bal@nce 873.24
statement period 28/12/2002 to 28/12/2002
account statement",Bank Statement
unique  identification number issued to indian residents by uidai,Aadhaar Card
"brazilian  gener@l registry identity card with photo 
",RG (ID)
"residential  lease agreement
landlord sarah johnson tenant sarah johnson
security deposit 1027.11
monthly rent due on the first of each month 8319.29
lease term begins 07/12/1986 ends 07/12/1986",Lease Agreement
document confirming a household falls below the poverty line,BPL Certificate
"property situated at 78 andheri east mumbai
survey number 669838 plot area
this indenture made between
registered document no 8680670484",Property Documents
"pay period ending 22/01/2006
gross earnings 950.50
earnings statement",Last Pay Stubs
"official  document stating a person's ye@rly earnings issued by @ revenue officer
income certificate no 5388518638",Income Certificate
"certificatc of birth
place of birth 78 andheri east mumbai
this is to certify that maria souza was born on 01/01/1969 
",Birth Certificate
"document used to prove current home address for an application
monthly rent 5505.79",Proof of Residency
"place  of birth 300 lakeview ave chicago
registration no 836324906565
sex ma1e/female
municipal corporation birth registry
this is to certify that maria souza was born on 20/09/1997
certific@te of birth",Birth Certificate
doctor-issucd assessment of physical or sensory impairment,Disability Certificate
"contract between a landlord and tenant for renting a property 
",Lease Agreement
"issued by district hospital
percentage of disability 8%
certificate of disability",Disability Certificate
"most  recent p@ycheck stub used to verify current income
earnings statement",Last Pay Stubs
"basic sal@ry hra deductions
pay period 17/11/1994
salary slip f0r the month of february
net payable 3890.77 
",Income Proof
"ctps  número 6033745531 série 6033745531
contrato de trabalho
carteira de trabalho e previdência social",Carteira de Trabalho
"brazilian document confirming the termination of an employmcnt c0ntract
data do aviso prévio 27/08/1996",Termo de Rescisão
"recent earnings statement from an employer showing pay and deductions
employee id 972930",Last Pay Stubs
"monthly summary of deposits withdrawals and balance from a bank account
branch name 78 andheri east mumbai",Bank Statement
"ration card no 5196114035
card type: above poverty line
public distribution system
family membcrs 43
state food civil supplies dep@rtment",Ration Card
"certificate of annual income
issued by tehsildar officc
income certificate no 92122801
this is to certify that mr/mrs john silva
valid for one year from date of issue",Income Certificate
"registered document no 644194834051
propcrty situated at 12 main st springfield
survcy number 557503 plot are@
this indenture made between
sale deed",Property Documents
"this card belongs to rohan mehta
social sccurity administration
social security card issued
social security number 520054",Social Security Number
"earnings  statement
pay period ending 19/04/2019
fedcral t@x state tax nct pay 9161.07
gross earnings 1446.75
employee id 304103986830",Last Pay Stubs
"annual wage statement issued by an employer for tax filing
wages tips other compensation 6154.36",Proof of Income
patient health records documenting treatment and visits,Medical Records
"cid 8c3086
percentual de incapacidade 65%
médico responsáve1 james cartcr
avali@ção de deficiência
laudo médico",Medical/Disability Report
"f@tura referente ao mês fevereiro
conta de luz endcreço rua das florcs 88 sao paul0
companhia de energia elétric@",Comprovante de Residência
"annual wage st@tement issued by an employer for tax filing
employer identification number 880635",Proof of Income
"dates 0f employmcnt 22/06/1978 to 22/06/1978
employment history summary
employer sarah j0hnson position rua das fl0res 88 sao p@u1o
work history verification letter",Work History
"8asic salary hra deductions
salary slip for the month of march
net payable 9732.06
gross pay 1418.75
employee name james carter
pay period 19/04/1978",Income Proof
"gender male
dob 01/08/2003
addrcss: 221b baker street",Aadhaar Card
"driving license number 353352730797
passport n0 946550
identification card issued by department of motor vehicles
valid until 07/07/2020",Government ID
"passport  no 435061566347
driving license number 355764
identification card issued by department of motor vehicles",Government ID
"renda familiar 671.91
número de identificação social nis 8746228611
número do cadúnic0 85398095
cadastro único para pr0gramas sociais",CadÚnico Registration
"age proof issued by rua das flores 88 sao paulo municipality
school le@ving certificate
date of birth as per school records 23/05/1971
ccrtificate of age",Age Proof
"opening balance 607.74 closing balance 607.74
statement period 16/09/2015 to 16/09/2015
ifsc code ag4hgg
branch name 300 lakeview ave chicag0 
",Bank Statement
"issucd  by gram panch@yat office
bpl card holder fernanda lima
bel0w povcrty linc certificate
bpl survey no 661469788732
f@mily income bc1ow poverty line threshold 
",BPL Certificate
"opening  b@lance 4402.54 closing b@lance 4402.54
account number 700610970098
ifsc code eh71e2 
",Bank Statement
"bclow poverty line certificate
issued by gram panch@yat office
bpl survey no 08780512
8pl card holder james carter",BPL Certificate
"cadastro de pessoas físicas
cpf númer0 029854
nome completo maria souza
d@ta de nascimento 11/03/1981
receit@ federal d0 brasil",CPF
"federal inc0me tax withheld 8725.57
empl0yer identification number 125130
form w-2 wage and tax statement
pay stub earnings statement",Proof of Income
"brazilian  work booklet recording employment history and contracts
data de admissão 23/02/1986",Carteira de Trabalho
official record of when and where a person was born,Birth Certificate
"individual tax id document used for financial transactions in brazil 
",CPF
shows gross earnings and net amount paid to an employee,Income Proof
"receita federal do br@sil
cadastro de pesso@s físicas
data de nascimento 15/10/1963
nome completo anita desai 
",CPF
official document confirming a person's disability for benefit purposes,Disability Certificate
"card showing an individual's social security number
social security card issued",Social Security Number
"pay period ending 24/09/2009
gross earnings 7116.17
earnings statement
employee id 09950985
federal tax state tax net pay 5291.05",Last Pay Stubs
"brazilian general registry identity card with photo
secrctaria de segurança pública",RG (ID)
brazilian taxpayer registration number issued by receita federal,CPF
"employee id 894296
earnings statement
federal t@x state tax net pay 6852.22
pay period ending 12/07/1979
gross earnings 6189.04",Last Pay Stubs
"this card sh0ws my sus number for the brazilian public health system
número do cartão 6103613965",Cartão Nacional de Saúde
rcntal agreement or bill c0nfirming where someone lives,Proof of Residency
"governmcnt of india unique identification authority of indi@
gender male
uidai मेरा आधार मेरी पहचान",Aadhaar Card
"percentage of disability 75%
udid number 96789454
issued by district hospital",Disability Certificate
brazilian  taxpayer registration number issued by receita federal,CPF
doctor's evaluation used to certify a disability in br@zil,Medical/Disability Report
summary of a person's past jobs and employment dates,Work History
"lease agreement between landlord and tenant
property address 45 mg road bengaluru
utility bill service address 300 lakeview ave chicago",Proof of Residency
official record of when and where a person was born,Birth Certificate
"official  document stating a person's yearly earnings issued by a revenue officer
certificate of annual income",Income Certificate
"laudo  médico
cid 49fdjj
médico responsávcl james carter
percentual de incapacidade 57%
avaliação de deficiência 
",Medical/Disability Report
"billing address 78 andheri east mumbai
electricity bill
consumer number 8486798605
utility connection va1id for 300 lakcview ave chicago",Address Proof
"ministério da saúde
cartão nacion@l de s@úde
nome do usuário anita dcsai 
",Cartão Nacional de Saúde
"pay period ending 07/11/1998
federal tax state tax net pay 5135.87
employee id 1622880147
gr0ss earnings 4251.25
e@rnings st@tement",Last Pay Stubs
"annual wage statement issued by an employer for tax filing
year to date gross 9842.36 
",Proof of Income
"national he@lth card used to access public hcalthcare services in brazil 
",Cartão Nacional de Saúde
"secretaria de segurança pública
registro geral
filiação john silva
carteira de identidade
rg númer0 357400",RG (ID)
"ration card no 99916385
fair price shop
public distribution system
state food civil supplies departmcnt
card type: above poverty line
family members 79",Ration Card
"official photo identification issucd by a government agcncy 
",Government ID
"p1ace  of birth 12 main st springfield
municipal corporation birth rcgistry
certificate of birth",Birth Certificate
registered deed transferring ownership of real estate,Property Documents
"family  members 83
category bpl/apl
fair price shop
state fo0d civil supplies department
c@rd type: above poverty line
public distribution system 
",Ration Card
"category bpl/apl
fair price shop
ration card no 970134
fami1y members 16
card type: above poverty line
state food civil supplies department",Ration Card
"medical bo@rd assessment
issued by district hospita1
udid number 294144
disability type: locomotor/visual/hearing",Disability Certificate
"issued by tehsildar office
certificate of annual income
income certificate no 4077141613
this is to certify that mr/mrs fernand@ lima
has an annu@l inc0me 0f rs 9291.42",Income Certificate
"school record or certificate showing date of birth for age verification
certificate of age",Age Proof
unique  identification number issucd to indian residents by uidai,Aadhaar Card
family entitlement c@rd for the public food distribution scheme,Ration Card
"card type: above poverty line
state food civil supplies department
fair price shop
catcgory bpl/apl",Ration Card
"registration  no 508918
place of birth 12 m@in st springfield
municipal corporation birth rcgistry 
",Birth Certificate
"clinical notes from a doctor's visit or hospital stay
attending physician john silva",Medical Records
"monthly rent 1706.18
property address ru@ das flores 88 sao pau1o
rcsidency verification letter
leasc agreement between landlord and tenant 
",Proof of Residency
national  health card used to access public hcalthcare services in brazil,Cartão Nacional de Saúde
"aadhaar no 396489482984
dob 07/03/1995
enrolment no 265835
gender male",Aadhaar Card
"médico responsável priya nair
percentual de incapacidade 49%
avaliação de deficiência
cid ici677
laudo médico",Medical/Disability Report
"ye@r  to date gross 4851.52
pay stub earnings statement
wages tips other compensation 7561.32
employer identific@tion number 280824
federal income tax withhcld 6066.17
form w-2 wage @nd tax statement",Proof of Income
br@zilian  work booklet recording employment history and contracts,Carteira de Trabalho
"federal income tax withheld 3622.33
employer identific@tion number 299524496150
year to date gross 1901.82
pay stub earnings statement
wages tips other compensation 6540.57
form w-2 wage and tax statement",Proof of Income
doctor-issued assessment of physical or sensory impairment,Disability Certificate
"médico responsável priya nair
cid 3b9ffg
laudo médico
percentual de incapacidade 25%",Medical/Disability Report
government certification of low-income family status,BPL Certificate
"paystub listing salary breakdown for the pay period
net pay@ble 4710.24",Income Proof
"brazilian taxpayer registration number issued by receita federal
cpf número 093547028869 
",CPF
"address: 45 mg road benga1uru
dob 11/02/1967
g0vernment of india unique identification authority of india
uidai मेरा आधार मेरी पहचान
a@dhaar no 1083985057",Aadhaar Card
"dates of employment 20/04/2003 to 20/04/2003
employment history summary
employer maria souz@ position 45 mg road bengaluru
work hist0ry verification lettcr",Work History
"monthly  summary of dep0sits withdrawals and balance from a bank account
ifsc code 1bjfa6",Bank Statement
"government  document confirming date and place of birth
sex male/female 
",Birth Certificate
"consumer number 029144
proof of residence
billing address 221b baker street
residential certificate issued to john silva 
",Address Proof
"número dc identificação social nis 354972
número do cadúnico 165177966044
rcnda familiar 7511.76
cadastro únic0 para progr@mas soci@is",CadÚnico Registration
"age  pro0f issued by 221b baker street municipality
date of 8irth as per school records 14/04/1966
school leaving certificate
certific@te of age 
",Age Proof
"official severance paperwork issued when a job ends in brazil
trct",Termo de Rescisão
"age  proof issued by 12 main st springfield municipality
school leaving certificate
date of birth as per sch0ol records 09/02/1972
ccrtific@tc of age",Age Proof
"family  entitlement card for the public food distribution scheme
public distribution system",Ration Card
"registration no 3156229810
5ex male/female
place of birth 300 lakeview ave chicago
municipal corporation birth registry",Birth Certificate
"employer identification number 2175980684
pay 5tub earnings statement
federal income tax withheld 6262.57
year to date gross 1738.66",Proof of Income
"singlc  registry number used to apply for brazilian socia1 benefits
número do cadúnico 619878212106",CadÚnico Registration
document confirming a household falls below the poverty line,BPL Certificate
"nome  completo james cartcr
cpf número 84636961
cadastro de pessoas físicas
data de n@scimento 09/09/2015
receita federal do brasil",CPF
"below  poverty line certificate
family income below poverty line threshold
bpl card holder j0hn silva
issued by gram panchayat office",BPL Certificate
"carteira  de traba1ho e previdência social
ctps número 791064 série 791064
data de admissão 25/03/2007",Carteira de Trabalho
"official brazilian id card issued by public security department
fili@ção james carter",RG (ID)
this card shows my sus number for the brazilian public health system,Cartão Nacional de Saúde
"certific@te  of annual income
income certificate no 1207341406
issued by tehsildar officc
this is to certify that mr/mrs anita desai
va1id for one year from d@te of issue",Income Certificate
"municipa1  corpor@tion birth registry
registration no 173616315697
sex male/fem@le
certificate of birth
this is to certify that james carter was born 0n 21/03/1987
pl@ce 0f birth rua das flores 88 s@o paulo 
",Birth Certificate
"electricity  or water bill showing a resident's address in brazil 
",Comprovante de Residência
"place  of birth rua das flores 88 sa0 paulo
sex male/female
certific@te of birth
this is to certify that sarah johnson was born on 27/01/1977
registration no 51869930
municipal corporation birth registry",Birth Certificate
"c@dastro único para programas sociais
renda familiar 4866.19
número do cadúnico 26141004
número de identificação social nis 65406030",CadÚnico Registration
"date of birth as per school rccords 16/03/2002
school leaving certificate
age proof issued by 78 andheri east mumbai municipality
certificate of age",Age Proof
"data do aviso prévio 26/03/1968
saldo de salário 4528.50
termo de rescisão do c0ntrato de trabalho
trct 
",Termo de Rescisão
"unique  identification number issued to indian residents by uidai
aadhaar no 076714703232",Aadhaar Card
"brazilian work booklet recording cmployment history and contracts
carteira de trabalho e previdência social",Carteira de Trabalho
"residency  verification letter
property address 300 lakeview ave chicago
lease agreemcnt between landlord and tenant
utility bill 5ervice address 300 lakeview ave chicago 
",Proof of Residency
"patient medical record
attending physician carlos rodrigues
treatment summary discharge notes 
",Medical Records
certificate confirming houschold income for the p@st year,Income Certificate
official brazilian id card issued by public security department,RG (ID)
"cartão nacional de saúde
ministério da saúde
sistema único de saúde sus
nome do usuário sarah johnson
númer0 do c@rtão 11875054",Cartão Nacional de Saúde
houschold  card used to buy subsidized food grains from the government shop,Ration Card
"landlord vikram rao tenant vikram rao
monthly rent due on the first of each month 2660.01
lease term begins 21/02/2015 ends 21/02/2015
security deposit 6261.42
residentia1 lease agreement",Lease Agreement
"renda familiar 735.94
número de identificação social nis 9259809132
cadastro único par@ programas sociais
número do cadúnico 22084799 
",CadÚnico Registration
"employment history summary
dates of employment 27/05/2021 to 27/05/2021
work history verification lettcr
employer rohan mehta position rua das flores 88 sao paulo",Work History
"national identity document used for kyc verification in india
address: 78 andheri east mumbai",Aadhaar Card
printed  record of account balance issued by a financial institution,Bank Statement
"cadastro de pessoas físicas
nome completo john silva
cpf número 9360714092",CPF
"medical  board assessment
issued by district hospital
perccntage of disability 65%
disability type: loc0motor/visual/hearing
udid number 099675",Disability Certificate
"rcgistrati0n  no 2016669135
this is to certify that maria souza was born on 12/07/2003
place of birth 45 mg road bengaluru
sex male/femalc",Birth Certificate
"statement period 25/08/2001 to 25/08/2001
opening balance 5143.98 cl0sing bal@nce 5143.98
account number 7863411531
account statement",Bank Statement
"d0cument  showing monthly take-home pay and deductions from an employcr
basic salary hra deductions",Income Proof
"government  issued personal identification number for benefits and tax purposes
social security administration",Social Security Number
"número  d0 cartão 554549
ministério da saúdc
sistema único de saúde 5us
cartão nacional de s@úde
nome do usuário james carter",Cartão Nacional de Saúde
brazilian general registry identity card with photo,RG (ID)
"fatura refercntc a0 mês may
conta de luz endereço 300 lakeview ave chicago
companhia de energia elétrica
comprovante de residência",Comprovante de Residência
"statement pcriod 16/01/1993 to 16/01/1993
account number 3909970828
branch name 45 mg road bengaluru
opening balance 5731.06 closing balance 5731.06",Bank Statement
"account statcment
statement period 10/08/2019 to 10/08/2019
account number 25150840",Bank Statement
"year to date gross 6806.18
form w-2 wage and tax statement
federal income tax withheld 5959.98
employer identification number 4516969503",Proof of Income
"social  security number 305040470865
this card belongs to fernanda lima
soci@l security administration",Social Security Number
"sex male/female
this is to certify that priya nair was born on 04/11/1981
registr@tion no 317701
pl@ce of birth 221b baker strcet",Birth Certificate
"age  pr0of issued by rua das flores 88 s@o paulo municipality
school leaving certific@tc
certificate of age",Age Proof
0fficial  phot0 identification issued by a government agency,Government ID
"residenti@l le@sc agreement
security deposit 3094.62
monthly rcnt due on the first of each month 5886.93
l@ndlord sarah johns0n tenant sarah johnson
leasc term begins 06/11/2001 ends 06/11/2001",Lease Agreement
"filiação  vikram rao
registro geral
carteira de identidade
secretaria de segurança pública",RG (ID)
"category bpl/apl
ration card no 81129833
public distribution system
card type: above poverty line
family members 59
5tate food civil supplies dep@rtment 
",Ration Card
"official brazilian id card issued by public security department 
",RG (ID)
"uidai मेरा आधार मेरी पहचान
address: 300 lakeview ave chic@go
gender male",Aadhaar Card
"gross pay 8871.65
net payable 7338.43
pay period 11/12/2006
salary slip for the month of febru@ry",Income Proof
"certificate  of birth
sex male/female
municipal corporation birth registry",Birth Certificate
"sccretari@ de segurança pública
filiação rohan mehta
rg númcro 777205606038
registro geral
carteira de identidade 
",RG (ID)
"title deed of ownership
rcgistered document n0 475735905946
property situated at 45 mg road bengaluru
sale deed
survey number 4396059338 plot area",Property Documents
"earnings statement
gross e@rnings 6151.02
employee id 918443577523",Last Pay Stubs
"gross pay 8196.05
pay period 04/01/1992
net payable 4048.31
basic salary hra deductions
employee n@me carlos rodrigues 
",Income Proof
"rental agreement or bill confirming where someone lives
lease agreement betwecn landlord and tenant 
",Proof of Residency
"ministério  da saúde
cartão nacional de saúdc
nome do usuário maria 5ouza",Cartão Nacional de Saúde
"wages tips other compensation 793.94
employcr identification number 258041763814
pay stub earnings statement
f0rm w-2 wage and tax statement
year to date gross 1677.31
federal income tax withheld 2337.43",Proof of Income
recent  earnings statement from an employer showing pay and deductions,Last Pay Stubs
"government issued persona1 identification number for benefits and tax purposes
social security card issued",Social Security Number
official  work permit document used in brazil for formal employment,Carteira de Trabalho
"this card belongs to priya n@ir
social security card issued
social security number 295512487728",Social Security Number
"statement period 22/04/1975 to 22/04/1975
account 5tatemcnt
opening balance 7357.48 closing balance 7357.48
account number 5617315774 
",Bank Statement
"valid  for one year from date of issue
certificate of annual income
issued by tehsi1dar office
this is to certify that mr/mrs anita des@i
income certificate no 616049",Income Certificate
"branch name rua das flores 88 sao paulo
account number 7295847028
account statement
opening ba1ance 5675.63 closing balance 5675.63
statement peri0d 26/06/1963 to 26/06/1963
ifsc code 31f94c",Bank Statement
letter verifying previous employment and j0b titles,Work History
"residential certificate issued to vikram r@o
billing address 12 m@in st springfield
consumer number 206598121004",Address Proof
"tit1c  deed of ownership
sale deed
this indenture made between",Property Documents
"transaction history showing account activity over a period 
",Bank Statement
"data  de admissã0 17/04/1974
ctps número 06454395 série 06454395
contrato de trabalho
cartcira de trabalho e previdência s0cia1 
",Carteira de Trabalho
official work permit document used in brazil for f0rmal employment,Carteira de Trabalho
"contr@t0 dc trabalho
data de admissão 26/10/1979
carteira de trabalho e previdência social
ctps número 813889246897 série 813889246897",Carteira de Trabalho
hospital  discharge summary with diagnosis and treating doctor name,Medical Records
"utility  connection valid f0r 45 mg road bengaluru
electricity bill
billing address 300 lakeview ave chicago",Address Proof
"monthly rent due on the first of each month 7002.20
landlord carlos rodrigues tenant carlos rodrigues
lease term begins 03/05/1984 ends 03/05/1984
security deposit 2966.97
residential lease agrcement",Lease Agreement
"issued by tehsild@r office
ccrtificate of annual income
valid for one year from date of issue
incomc certificate no 49906114",Income Certificate
"lease agreement betwccn landlord and tenant
property address 45 mg road bengaluru
residency vcrification letter
uti1ity bill service address 78 andheri east mumbai
monthly rent 1071.32",Proof of Residency
"data de admissão 09/04/2023
ctps número 3748472922 série 3748472922
contrato de traba1ho
carteira de trabalho e previdência 5ocial",Carteira de Trabalho
"incomc certificatc n0 19495854
issued by tehsi1dar officc
has an annual income of rs 9660.41
valid for one year from date of issue 
",Income Certificate
"saldo de salário 8077.30
data do aviso prévio 27/05/2009
termo de rescisão do contrat0 de trabalho
trct",Termo de Rescisão
"issued by gram p@nchayat office
bpl card holder rohan mehta
bel0w poverty line certificate
bpl survey n0 252333269197",BPL Certificate
"cpf  número 715931742300
d@ta de nascimento 09/09/2018
cadastro de pessoas físicas
receita feder@l d0 brasil",CPF
"ration card no 847991852912
category bpl/apl
family members 3
public distribution system
fair price shop
state food civil supplies dep@rtment 
",Ration Card
"valid for one year from d@te of issue
issued by tehsildar office
income ccrtificate no 19928553
this is to certify that mr/mrs rohan mehta",Income Certificate
document used to prove current h0me address f0r an application,Proof of Residency
"recent earnings statement from an employer showing pay and deductions 
",Last Pay Stubs
"category bpl/apl
card type: above poverty line
fair price shop
family members 81
public distribution system
state food civi1 supplies department",Ration Card
"sistema único de s@úde sus
cartã0 nacional de saúde
ministério da saúde
nome do usuário vikram rao",Cartão Nacional de Saúde
"this letter confirms i live at this address and pay rent monthly
landlord vikram rao tenant vikram rao",Lease Agreement
"c0mp@nhi@  de energia elétrica
fatura referente @o mês july
c0nta de luz endereço 221b b@ker street
comprovante de residência",Comprovante de Residência
"valid  until 11/10/2021
passport no 8702550889
driving license number 0030663093
identification card issued by department of motor vehicles
photo identificati0n document",Government ID
"a utility bill or letter showing where someone currently lives
utility connection valid f0r 45 mg road bengaluru",Address Proof
"v@lid  until 18/08/1968
photo identification document
passport no 545815549671",Government ID
passport  or driving license used to verify identity,Government ID
"doctor's evaluation used to certify a disability in brazil
percentual de incapacidade 96%",Medical/Disability Report
"employer rohan mehta positi0n 12 main st springfield
employment history summary
work history verification letter
dates of employment 10/04/1997 to 10/04/1997",Work History
"has  an annua1 income of rs 8489.49
this is to certify that mr/mrs sarah j0hnson
v@lid for one year from date of issue
certificate of annual income 
",Income Certificate
"data do aviso prévio 03/04/1996
trct
termo de rescisão do contrat0 de trabalho
saldo dc salári0 8286.05 
",Termo de Rescisão
clinica1 notes from a doctor's visit or hospital stay,Medical Records
"utility connection valid for 45 mg road bengaluru
proof of residence
consumer number 96091707 
",Address Proof
"federal tax st@te tax net pay 166.40
employee id 357908
pay period ending 09/03/1964
gross earnings 3147.12
earnings statement",Last Pay Stubs
"this is to certify that mr/mrs carlos rodrigues
certificate of annual income
valid for 0nc year from date of issue
has an annual income of rs 7590.16",Income Certificate
"individual tax id document used for financial transactions in brazil
receita federal do brasil 
",CPF
